card_id,set_id,set_code,set_rarity,set_rarity_code
111280,c6f3e50089b17275c8462f40263e585d,EN102,Common,(C)
114932,057bbb1a0e320cf490345e0918075fb4,EN027,Common,(C)
122520,ebc400e21e238014d979aaf26917d906,EN002,Rare,(R)
123709,7c291aeddb69fc1e37dd23eb1aac3a42,EN094,Common,(C)
123709,ecb2d155c8d3bbf89e264d66fc95a5e7,EN008,Common,(C)
126218,005eba16ef83bd8139478a7055c438c0,EN074,Common,(C)
126218,0c202ec142984f12ab2b77fea86ba266,003,Prismatic Secret Rare,(PScR)
126218,252db9553776f8e6b60e5a84f15e8e43,ENB17,Common,(C)
126218,73116358b20b31a9b536099f3f043710,EN046,Common,(C)
126218,7a3f426a7e592e72f0d19b70b22e8255,E003,Prismatic Secret Rare,(PScR)
126218,a458af47094ebbba5ae5a62540040cbe,EN004,Common,(C)
126218,d8a9cfb70839915fcea1465fc6d714e8,ENB18,Common,(C)
128454,22e43c6247690300afe191ade90adab0,EN005,Common,(C)
128454,3bbff0e4b3edb9f6363fb5af6bde2021,EN005,Common,(C)
131182,761a6f4c81e2e236659f49577db80ec2,EN003,Common,(C)
132308,06d4ff0cc2404485875a69ae6f9a139d,EN027,Common,(C)
132308,a044f1d51eeaaab32a0ab95712836f19,EN128,Ultra Rare,(UR)
135598,bcf20e78948fb5b90ef26f3b73f4c4fe,EN036,Common,(C)
146746,bd77395aac64ed95f5555f319a7aba9a,EN048,Secret Rare,(ScR)
164710,2984551a0ea16439e1b2784b49abbe92,EN034,Common,(C)
164710,8d3e7a062d47489858355ed9e703e486,EN023,Common,(C)
164710,b0606792e1cb727d75e9e61821ffece4,EN081,Common,(C)
168917,29b84a69b4ed47f6c0796ebcf036b662,EN023,Duel Terminal Rare Parallel Rare,(DRPR)
168917,fa24f5d2ba180cf4a0f10b4a9164ed49,EN008,Super Rare,(SR)
176392,bcf20e78948fb5b90ef26f3b73f4c4fe,EN082,Rare,(R)
191749,9b2a1718ef262a0047f51664f55117ff,EN020,Common,(C)
191749,a3d60a924aaac2198910dd569b21264f,EN092,Rare,(R)
191749,ae497808dae99143a58560d3b3b33d16,EN042,Rare,(R)
191749,ae497808dae99143a58560d3b3b33d16,EN042,Ultimate Rare,(UtR)
191749,b16caf880089062bfa66f00739d25801,EN111,Common,(C)
191749,e748b854ba70343861902208384941cd,EN222,Common,(C)
191749,f4b6bdbdc3361f9317a9ffdea5f6d8ce,EN027,Secret Rare,(ScR)
197042,06d4ff0cc2404485875a69ae6f9a139d,EN076,Super Rare,(SR)
197042,a044f1d51eeaaab32a0ab95712836f19,EN145,Common,(C)
209710,b2da2930396a210c404f3a4e02ab7784,EN172,Common,(C)
209710,d34642d654058d0cdefc4c4b4b0032bd,EN004,Common,(C)
209710,d3b3bf82306f521336836b7a68385fc8,EN013,Common,(C)
209710,d3b3bf82306f521336836b7a68385fc8,EN013,Starfoil,
209710,d3b3bf82306f521336836b7a68385fc8,EN013,Starfoil Rare,(SFR)
213326,9b2a1718ef262a0047f51664f55117ff,EN017,Common,(C)
213326,a3d60a924aaac2198910dd569b21264f,EN089,Common,(C)
213326,a3f811934031ac406e45353c5710b2c3,EN029,Common,(C)
213326,a958f842061f0c256334ebf7813f3cb5,EN032,Ultra Rare,(UR)
213326,ae497808dae99143a58560d3b3b33d16,EN039,Common,(C)
213326,b16caf880089062bfa66f00739d25801,EN108,Common,(C)
213326,e748b854ba70343861902208384941cd,EN219,Common,(C)
213326,f4b6bdbdc3361f9317a9ffdea5f6d8ce,EN024,Secret Rare,(ScR)
218704,005adeb3ee84ff7785b85e28469ab1f7,EN020,Rare,(R)
218704,3af8b79d378b9319b1305b50ab035be2,EN008,Common,(C)
218704,b0f2c36a83e4cfc6e05d4a3571a93fce,020,Common,(C)
218704,b0f2c36a83e4cfc6e05d4a3571a93fce,EN020,Common,(C)
220414,66265a16620d88460369a7af3cf0252f,EN094,Common,(C)
220414,cb403c1c3e075dbf7db5a1635a299677,EN091,Super Rare,(SR)
242146,506f3b6d6b69648933ac22ed31aa737b,EN106,Common,(C)
242146,8a855211e1f7cd0dcdb133b3b1f118c3,EN046,Common,(C)
255998,8272aa7c271a31209868ece93db778b8,EN004,Super Rare,(SR)
259314,6be8c2a4292c11acd5f7c207507704f9,EN074,Common,(C)
263926,327d59d3112082748441132b4cce3a5f,EN137,Common,(C)
263926,a3a23e9aef9f574d8509e2996e848cdf,EN032,Common,(C)
269012,210221ec4af0d99226b267c3802acf11,EN053,Ultra Rare,(UR)
269012,22707513e1903b33f9574972d7a35995,EN025,Secret Rare,(ScR)
269012,738703c313d64298766c9594690311c3,EN053,Rare,(R)
269012,aba80c81872540d639ec3aa3cfb77c7d,EN027,Common,(C)
269012,d55af50d0f8e836ce4b394f0eb534958,EN026,Common,(C)
269510,b2da2930396a210c404f3a4e02ab7784,EN204,Common,(C)
269510,d34642d654058d0cdefc4c4b4b0032bd,EN052,Common,(C)
269510,d3b3bf82306f521336836b7a68385fc8,EN043,Common,(C)
269510,d3b3bf82306f521336836b7a68385fc8,EN043,Starfoil,
269510,d3b3bf82306f521336836b7a68385fc8,EN043,Starfoil Rare,(SFR)
276357,2280df8b0216253b8059876bc8745f43,EN072,Common,(C)
276357,c6f3e50089b17275c8462f40263e585d,EN224,Common,(C)
282886,11f376749f8e6a1595fc008a21e2f562,EN033,Common,(C)
284224,5a20816edc54692fbf4f15eeecef19ea,EN041,Ultra Rare,(UR)
286392,468ef2a7f53539fd26bccf9140f8725e,EN041,Ultra Rare,(UR)
291414,0ae37fc5dd293c7ab5dd50776e70587e,EN118,Common,(C)
291414,ee19a7b461378aeba25fd1cd47b5f1af,EN001,Common,(C)
293542,4f36a98f48b8ba92cdc99876703daabf,EN020,Common,(C)
293542,7c0ee7fabbf9093b04eb661478db5561,EN209,Secret Rare,(ScR)
293542,d9664ecfdd5e5da052a3bab282dd85d8,EN016,Common,(C)
293542,e0287a9b16d64cecab1a8bccbabb0d2c,PT016,Common,(C)
295517,275cb6c0e5b3bb3a4a3de4620f6d1d77,EN003,Common,(C)
295517,31e4c44e64a36366a45bd876f58ecf87,078,Common,(C)
295517,31e4c44e64a36366a45bd876f58ecf87,EN078,Common,(C)
295517,34538103e7730ac64717363f9b2bd570,EN021,Common,(C)
295517,3af8b79d378b9319b1305b50ab035be2,EN020,Common,(C)
295517,51eeba1e5fd0972879c04cd0bc04ad7b,EN029,Common,(C)
295517,701e2e044393bfbc4f7cb10dd6d6390b,EN187,Common,(C)
295517,93d6a60352d6427b42c3604c61cf1dd6,ENC13,Common,(C)
295517,a399605f0dad9ea9479460414f6a2c8a,EN062,Common,(C)
295517,d8a9cfb70839915fcea1465fc6d714e8,ENI27,Common,(C)
295517,ede03e9cb79e96eccb6afc8855212d72,EN024,Common,(C)
295517,fd6c36cd0673065cc28f35a132c5df90,EN079,Ultra Rare,(UR)
296499,6eba62842a4a2383961d7f49f358eee3,027,Common,(C)
296499,6eba62842a4a2383961d7f49f358eee3,E027,Common,(C)
296499,6eba62842a4a2383961d7f49f358eee3,EN027,Common,(C)
303660,005adeb3ee84ff7785b85e28469ab1f7,EN152,Rare,(R)
303660,17712c6d8cd56347c34a776ff2f87ee9,EN017,Common,(C)
303660,327d59d3112082748441132b4cce3a5f,EN157,Common,(C)
303660,6f94febfd38938e60f1f68c51e77d088,040,Super Rare,(SR)
303660,738703c313d64298766c9594690311c3,EN043,Common,(C)
303660,d8a9cfb70839915fcea1465fc6d714e8,ENE14,Common,(C)
313513,761a6f4c81e2e236659f49577db80ec2,EN049,Common,(C)
324483,4962ce2eefdcb976ce42041217783326,EN004,Super Rare,(SR)
327051,62025dbc0b5315078c3e9c35333e7f85,EN012,Rare,(R)
336369,29b84a69b4ed47f6c0796ebcf036b662,EN026,Duel Terminal Rare Parallel Rare,(DRPR)
336369,fa24f5d2ba180cf4a0f10b4a9164ed49,EN011,Super Rare,(SR)
340002,22e43c6247690300afe191ade90adab0,EN002,Rare,(R)
340002,3bbff0e4b3edb9f6363fb5af6bde2021,EN002,Rare,(R)
342673,c67dde397462bc8fd39202d742a53bb9,EN006,Quarter Century Secret Rare,
342673,c67dde397462bc8fd39202d742a53bb9,EN006,Ultra Rare,(UR)
359563,227ed3c80bba8dd3fb022f42fd4b0d95,EN023,Super Rare,(SR)
359563,c314e5654fde80c022c80e160001c02b,ENC35,Common,(C)
359563,cd5cf6590fbb344744eb7ad7cb2a783e,EN039,Duel Terminal Super Parallel Rare,(DSPR)
365213,ee19a7b461378aeba25fd1cd47b5f1af,EN050,Secret Rare,(ScR)
368382,3bbff0e4b3edb9f6363fb5af6bde2021,EN196,Common,(C)
368382,a1c14cc8da23f716d0e8e532bfb6c455,EN027,Common,(C)
373085,542fdb01ea7dfa238d17aaf3c062b2c7,EN028,Ultra Rare,(UR)
373085,b720717a4c88e63a5d561f2cc18689d1,EN021,Common,(C)
387282,ef45e8598d36df9cc3a8ae03904f10d0,EN006,Prismatic Secret Rare,(PScR)
402416,c67dde397462bc8fd39202d742a53bb9,EN055,Super Rare,(SR)
402568,0f9b72aaa5f16958bafed45b15ef3bf6,EN015,Common,(C)
402568,542fdb01ea7dfa238d17aaf3c062b2c7,EN064,Ultra Rare,(UR)
402568,bcf20e78948fb5b90ef26f3b73f4c4fe,EN025,Super Rare,(SR)
403847,2d5a3babe4c721e09dac8eb6bd93247c,EN028,Common,(C)
403847,31e4c44e64a36366a45bd876f58ecf87,027,Rare,(R)
403847,31e4c44e64a36366a45bd876f58ecf87,EN027,Rare,(R)
403847,701e2e044393bfbc4f7cb10dd6d6390b,EN146,Common,(C)
403847,c570582574a239f2ee1d6861c73e674d,EN024,Common,(C)
403847,e668ef246e51da573d2987d5a350134c,ENA08,Common,(C)
410904,4476b03a17dccd2e8abf2909008d37c4,EN021,Common,(C)
410904,aba80c81872540d639ec3aa3cfb77c7d,EN144,Secret Rare,(ScR)
410904,cb403c1c3e075dbf7db5a1635a299677,EN178,Common,(C)
423585,16143154c76b25b2a09a2dbabd987990,EN017,Common,(C)
423585,73116358b20b31a9b536099f3f043710,EN027,Gold Rare,(GUR)
423585,7c6e77a5a83de29d749226ae0eb952f2,EN166,Ultra Rare,(UR)
423585,836b113bba3ee3f9954c545ef951f227,EN005,Common,(C)
423585,a0431d1e982ccf06eb9eaa54f9334dd4,EN025,Rare,(R)
423585,a1bb854dbdd66c37ffaf43b0372423d8,EN017,Common,(C)
423585,a3f811934031ac406e45353c5710b2c3,EN017,Common,(C)
423585,b10b4352c55dc9fbb5d188ea621ac5c5,EN089,Gold Rare,(GUR)
423585,c298ec426e621c56055f9eabc7c3a0ef,EN039,Super Rare,(SR)
423585,c35e257ddef8623f5a1b59ab585646c0,EN016,Common,(C)
423585,efc8ecd2a880ccca6795b0ff61ce4fff,EN014,Common,(C)
423705,005eba16ef83bd8139478a7055c438c0,EN030,Common,(C)
423705,03e90883b2113627cd020c51bb3710d2,EN022,Common,(C)
423705,252db9553776f8e6b60e5a84f15e8e43,ENB10,Common,(C)
423705,6eba62842a4a2383961d7f49f358eee3,101,Super Rare,(SR)
423705,6eba62842a4a2383961d7f49f358eee3,E101,Super Rare,(SR)
423705,6eba62842a4a2383961d7f49f358eee3,EN101,Super Rare,(SR)
423705,7d722ae9091f636deb75655461cd8f45,012,Secret Rare,(ScR)
423705,8dcba1628d21d045ba6d423ec92d921e,EN005,Common,(C)
423705,a1b9bd36604f79a441666872970d3386,EN009,Super Rare,(SR)
423705,a399605f0dad9ea9479460414f6a2c8a,EN025,Rare,(R)
423705,b79d33fa1cb25ad31a52ba31540bd980,EN204,Rare,(R)
423705,d8a9cfb70839915fcea1465fc6d714e8,ENB01,Common,(C)
423705,d8a9cfb70839915fcea1465fc6d714e8,ENB01,Secret Rare,(ScR)
423705,dc9e9b7ce61fd372e15eb79faac0a51e,ENJ12,Common,(C)
423705,f1ea9ca7056002cd455126d9b1a8d415,012,Common,(C)
425934,5c47e88732f386f382d2e2dae097a44f,EN227,Common,(C)
425934,9ded067771dd7a4044333496beb490fd,065,Common,(C)
425934,9ded067771dd7a4044333496beb490fd,EN065,Common,(C)
440556,1eb2553b45fe4c9104bcf82a1345d2f9,EN069,Gold Rare,(GUR)
440556,71a4ab7fe8bb50fd2bb20aa02a430915,EN009,Super Rare,(SR)
440556,7c2c3a4e72dcda348ff2564980fce2a9,EN099,Secret Rare,(ScR)
440556,ba4208f8e9ca013bd08d04fec037af05,EN011,Rare,(R)
440556,dfd79d92eddd272ff650007af97fc3f5,PT009,Super Rare,(SR)
458748,62025dbc0b5315078c3e9c35333e7f85,EN054,Rare,(R)
458748,c298ec426e621c56055f9eabc7c3a0ef,EN036,Secret Rare,(ScR)
464362,92ba5ef6b6e74de1ab12f8ba98f436f0,ENSE2,Super Rare,(SR)
464362,92ed29cc1e38661ced69a7a0f102f6d4,ENSE2,Super Rare,(SR)
464362,932209f684fe58a800a204e4de97544c,EN073,Ultra Rare,(UR)
464362,c298ec426e621c56055f9eabc7c3a0ef,EN022,Secret Rare,(ScR)
473469,6eba62842a4a2383961d7f49f358eee3,018,Common,(C)
473469,6eba62842a4a2383961d7f49f358eee3,E018,Common,(C)
473469,6eba62842a4a2383961d7f49f358eee3,EN018,Common,(C)
487395,464efca069fa5dbc7e02097dd23f7b1e,EN002,Common,(C)
494922,102315c19c0571f2fd7f21207307f869,ENS11,Super Rare,(SR)
494922,b0606792e1cb727d75e9e61821ffece4,EN048,Super Rare,(SR)
494922,b0606792e1cb727d75e9e61821ffece4,EN048,Ultimate Rare,(UtR)
494922,ef8b913d5f49de0798a5c8b77617faee,EN034,Common,(C)
494922,ef8b913d5f49de0798a5c8b77617faee,EN034,Shatterfoil Rare,(SHR)
525110,bcf20e78948fb5b90ef26f3b73f4c4fe,EN022,Rare,(R)
545781,30a5aa12009479ffc7ef005141fdf0dc,PT025,Common,(C)
545781,4476b03a17dccd2e8abf2909008d37c4,EN081,Common,(C)
545781,cb403c1c3e075dbf7db5a1635a299677,EN218,Ultra Rare,(UR)
545781,ddf9c624d26944f73cb8bf174e184d81,EN025,Common,(C)
549481,ac6b7e2c6239479038488c7a86ab2084,084,Common,(C)
549481,ac6b7e2c6239479038488c7a86ab2084,E084,Common,(C)
549481,ac6b7e2c6239479038488c7a86ab2084,EN084,Common,(C)
564541,127e29d69ba692bac8b32e298c0edcef,EN008,Super Rare,(SR)
564541,610fa05ae2b971af95aa19408657ad7b,ENB12,Common,(C)
564541,de7d43d6aa45805068358d7960eabadd,EN085,Super Rare,(SR)
572850,06d4ff0cc2404485875a69ae6f9a139d,EN014,Super Rare,(SR)
575512,4d88fdebf2f47b191a0eff8ae615dd02,EN036,Rare,(R)
581014,1eb2553b45fe4c9104bcf82a1345d2f9,EN065,Gold Rare,(GUR)
581014,227ed3c80bba8dd3fb022f42fd4b0d95,EN020,Secret Rare,(ScR)
581014,542fdb01ea7dfa238d17aaf3c062b2c7,EN081,Ultra Rare,(UR)
581014,87061e9044e7d0528e8b60c21adb0874,EN122,Shatterfoil Rare,(SHR)
581014,cd5cf6590fbb344744eb7ad7cb2a783e,EN036,Duel Terminal Ultra Parallel Rare,(DUPR)
596051,0c74b9f9bffac3c9f054cd9bd4fdf9ab,050,Common,(C)
596051,0c74b9f9bffac3c9f054cd9bd4fdf9ab,E050,Common,(C)
596051,264ab25093b50bb322bdff24076a8645,050,Common,(C)
596051,264ab25093b50bb322bdff24076a8645,EN050,Common,(C)
598988,fa35991845aecec618578dca1dbc2370,EN005,Secret Rare,(ScR)
601193,1eb2553b45fe4c9104bcf82a1345d2f9,EN061,Gold Rare,(GUR)
601193,774578ab8e9131aedd786a1cc57fc1a0,EN085,Secret Rare,(ScR)
601193,ebcf2adcd9679d0dcc72352f53d09dc6,EN187,Secret Rare,(ScR)
612115,3b24ac7a126a48b8cc5cd4112179cc32,EN086,Secret Rare,(ScR)
612115,72c7ff764b74b7a254450c96baee4b1e,EN006,Rare,(R)
637216,a3a23e9aef9f574d8509e2996e848cdf,EN000,Rare,(R)
645087,2238892a062c62d4750d5f2b63e839a3,EN009,Common,(C)
645087,62025dbc0b5315078c3e9c35333e7f85,EN037,Rare,(R)
645087,9abce9ef0212d134c70a05c322b2dd94,EN135,Rare,(R)
645794,4962ce2eefdcb976ce42041217783326,EN074,Rare,(R)
645794,a1c14cc8da23f716d0e8e532bfb6c455,EN030,Super Rare,(SR)
652362,bb49627c5be3da6f8993300fb5249a76,EN100,Ultra Rare,(UR)
652362,de7d43d6aa45805068358d7960eabadd,EN039,Rare,(R)
653675,1207a8b2f774090ec294ce41782874bc,EN050,Common,(C)
662853,8eb385512ccc41dd766185b9f05ba62a,EN001,Extra Secret,
662853,8eb385512ccc41dd766185b9f05ba62a,EN001,Extra Secret Rare,
662854,6e2c68e121f3a1ec70599fd04b6ddbdc,EN001,Extra Secret Rare,
662854,db9bdf92b4f75a281a5e76776e5c3079,EN004,Ultra Rare,(UR)
662855,6e2c68e121f3a1ec70599fd04b6ddbdc,EN002,Extra Secret Rare,
662855,db9bdf92b4f75a281a5e76776e5c3079,EN003,Ultra Rare,(UR)
662857,8eb385512ccc41dd766185b9f05ba62a,EN002,Extra Secret,
662857,8eb385512ccc41dd766185b9f05ba62a,EN002,Extra Secret Rare,
674561,1c776a73d9ffc801d13065227a2e7eac,EN030,Common,(C)
674561,3f33498661590f385db2783d1e29abd5,EN030,Common,(C)
674561,468ef2a7f53539fd26bccf9140f8725e,EN030,Common,(C)
674561,47c711dd929549af8f8079167dfc6814,EN054,Super Rare,(SR)
674561,72c7ff764b74b7a254450c96baee4b1e,EN010,Rare,(R)
674561,c314e5654fde80c022c80e160001c02b,ENC19,Common,(C)
674561,d32a9db5bc8f1e0e8e18a5ad0c236439,EN054,Super Rare,(SR)
674561,d7fe0009735441f06c39d9369e13911e,ENA24,Common,(C)
675319,2280df8b0216253b8059876bc8745f43,EN058,Common,(C)
675319,c6f3e50089b17275c8462f40263e585d,EN211,Common,(C)
691925,74d268a12a33e082dcee71b249e4402b,EN026,Common,(C)
691925,7500066f4df5195ce467d97db1b62d8d,EN045,Ultra Rare,(UR)
691925,761a6f4c81e2e236659f49577db80ec2,EN052,Ultimate Rare,(UtR)
691925,761a6f4c81e2e236659f49577db80ec2,EN052,Ultra Rare,(UR)
691925,a958f842061f0c256334ebf7813f3cb5,EN062,Common,(C)
691925,b10b4352c55dc9fbb5d188ea621ac5c5,EN046,Gold Rare,(GUR)
691925,d99c31e876f1ce3308323f83688596ec,ENSE1,Super Rare,(SR)
698785,7c291aeddb69fc1e37dd23eb1aac3a42,EN044,Ultimate Rare,(UtR)
698785,7c291aeddb69fc1e37dd23eb1aac3a42,EN044,Ultra Rare,(UR)
698785,f4279a5f2eb17cea84e2318ac62732fe,EN012,Rare,(R)
698785,f80972e9e105372c90653606e7d8b3f7,EN021,Common,(C)
698785,f80972e9e105372c90653606e7d8b3f7,EN021,Starfoil Rare,(SFR)
703897,135e2ace389bafa490adfcd15a833a0d,EN074,Super Rare,(SR)
706925,411e1e7224accd39250b325567ad861e,EN001,Ultimate Rare,(UtR)
706925,ede03e9cb79e96eccb6afc8855212d72,EN003,Common,(C)
712559,005eba16ef83bd8139478a7055c438c0,EN104,Common,(C)
712559,252db9553776f8e6b60e5a84f15e8e43,ENV03,Ultra Rare,(UR)
712559,34538103e7730ac64717363f9b2bd570,EN014,Common,(C)
712559,610fa05ae2b971af95aa19408657ad7b,END13,Common,(C)
712559,c26a8f93f8d9788c6c05dc7e23cf2973,EN053,Rare,(R)
720147,fa790dab55470b7065402f51d2d90e2d,EN039,Super Rare,(SR)
732302,b709319ce6d76aaa534ac636eef4d383,EN016,Common,(C)
732302,e7d2e721e181f2c63cb16ab9bd6aa527,EN015,Short Print,(SP)
734741,1eb2553b45fe4c9104bcf82a1345d2f9,EN046,Gold Rare,(GUR)
734741,774578ab8e9131aedd786a1cc57fc1a0,EN082,Ultra Rare,(UR)
739444,4f01ece8166b338919a6203eb5dca93e,EN041,Super Rare,(SR)
739444,cb6ba8c143c17ecfa39d6d2fd18d70fb,EN104,Common,(C)
744887,aae6f5dd2c50bb70e5375f0d02dcc31e,EN022,Super Rare,(SR)
759393,0d205c15b2faee540c30c0053f6095d6,EN028,Common,(C)
759393,19fb9783db4853dd03f3cb34015c5bae,EN003,Common,(C)
759393,506f3b6d6b69648933ac22ed31aa737b,EN208,Common,(C)
759393,a00a63e0f7cb537cee6fd1a918837b7d,EN063,Duel Terminal Normal Parallel Rare,(DNPR)
770365,7c2c3a4e72dcda348ff2564980fce2a9,EN047,Ultimate Rare,(UtR)
770365,7c2c3a4e72dcda348ff2564980fce2a9,EN047,Ultra Rare,(UR)
770365,99d6f9095355e14568fcfd597a420490,EN020,Common,(C)
786906,7aaf44c411d4386963d8002ab3e37c90,EN075,Super Rare,(SR)
799183,38ea89b43162d02e2ed859ce622dab09,EN071,Ultra Rare,(UR)
799183,3bbff0e4b3edb9f6363fb5af6bde2021,EN157,Ultra Rare,(UR)
811734,38ea89b43162d02e2ed859ce622dab09,EN068,Common,(C)
811734,3bbff0e4b3edb9f6363fb5af6bde2021,EN154,Common,(C)
816427,135e2ace389bafa490adfcd15a833a0d,EN014,Common,(C)
816427,f7d6892d21b826142f78883be7d31cff,EN056,Common,(C)
821049,1207a8b2f774090ec294ce41782874bc,EN039,Quarter Century Secret Rare,
821049,1207a8b2f774090ec294ce41782874bc,EN039,Secret Rare,(ScR)
844056,e606bbaf04b9c79f2b0504c7ea01c580,EN096,Common,(C)
847915,8748de4289c2dedff0393a696754f2e4,EN058,Secret Rare,(ScR)
856784,71abafc39f0a66f56cebd5e864c8d8a3,EN033,Common,(C)
856784,aa94791c35f5fabfb8529a2fccb43138,EN003,Ultra Rare,(UR)
863795,ea5a029166ac43eb0a6709cd0ed21d1b,EN002,Common,(C)
876330,54fec7123a9e729d930de4c102af99df,EN002,Super Rare,(SR)
876330,d18070ca1640b784e459779147d675ad,PT032,Common,(C)
879958,9a48aa1efd722e8f715835c014c1a81e,ENSE4,Super Rare,(SR)
879958,b2da2930396a210c404f3a4e02ab7784,EN213,Common,(C)
879958,d34642d654058d0cdefc4c4b4b0032bd,EN066,Common,(C)
897409,05061bf65fb74fd2947cd11027d50e00,EN012,Super Rare,(SR)
897409,ea5a029166ac43eb0a6709cd0ed21d1b,EN051,Common,(C)
899287,697bc31656d1ae9ed3e9d11d9fc5a928,EN008,Secret Rare,(ScR)
900787,089e09d57dbd9a68383667eeb3ed84d1,EN162,Duel Terminal Ultra Parallel Rare,(DUPR)
900787,1810bd1ffc31332ffb5d461c9ca23e35,EN057,Secret Rare,(ScR)
900787,c1ec5010cd242bfdc8adb23e84f9e5f8,EN087,Duel Terminal Ultra Parallel Rare,(DUPR)
900787,d18070ca1640b784e459779147d675ad,PT034,Common,(C)
904185,7224e82da41ec50ae719fcc99fec38b6,EN103,Common,(C)
904185,fb2696367bea69cf285e4090b3e08d5c,EN064,Common,(C)
904186,d9664ecfdd5e5da052a3bab282dd85d8,EN026,Super Rare,(SR)
904186,e0287a9b16d64cecab1a8bccbabb0d2c,PT026,Super Rare,(SR)
911883,0264aae428d1bc453108991315fba7a9,EN055,Rare,(R)
911883,15a6196140765e09ae0636f48a47f558,EN028,Common,(C)
911883,22e43c6247690300afe191ade90adab0,EN065,Super Rare,(SR)
